,Subtype 1,Subtype 2,Subtype 3
ATP6V1C2,1,0,0
CCDC149,1,0,1
ANKRD44,1,0,0
LRRIQ1,1,0,0
OR2C1,1,0,0
PRB3,1,0,1
MT1IP,1,0,0
NAT8B,1,0,1
ABL2,1,0,0
SIM2,1,0,0
LOC101928068,1,0,0
USF3,1,0,0
GGT7,1,0,0
ALG1L2,1,1,0
ZNF567,1,0,0
AQP12A,1,0,0
USP17L10,1,0,0
BCLAF1,1,0,1
NUDT18,1,0,0
ABCD1,1,0,0
ELP5,1,0,0
HLA-DQA1,1,0,0
NUP50,1,0,0
LINC01551,1,0,1
PVRIG,1,0,1
LCE1D,1,0,0
COX6C,1,1,0
RNH1,1,0,0
POM121L4P,1,0,0
PCDHGA12,1,0,0
DERA,1,0,0
LOC100129083;SIGLEC10,1,0,0
OR8J1,1,0,0
UMODL1,1,0,1
TSPYL2,1,0,0
NACA2,1,0,0
LOC374443,1,0,0
LNX1,1,0,0
SPANXN4,1,0,0
CCDC144CP,1,0,0
PPP4R1L,1,0,0
HYDIN;HYDIN,1,0,0
TCTEX1D1,1,0,0
ASTE1,1,0,0
LINC01667,1,0,0
TCP10L2,1,0,0
EPB41L4A-DT,1,0,0
NUDT1,1,0,0
FRG1FP,1,0,0
AGPAT4-IT1,1,0,0
MTSS1,1,0,1
CYP2F1,1,0,0
TGIF1,1,0,0
OR5K2,1,0,0
B3GNT6,1,0,0
SPERT,1,0,0
C21orf91-OT1,1,1,0
MUC7,1,1,0
ASPH,1,0,0
ATP8B3,1,0,0
DENND4A;RAB11A,1,0,1
OR2T4,1,0,0
LGALS9;NOS2,1,1,0
FAM187B,1,0,0
FMO2,1,0,0
ANKMY2,1,0,0
INO80E,1,0,0
NCAPH2,1,1,0
OR10AD1,1,0,0
SVEP1,1,1,0
R3HCC1;R3HCC1,1,0,1
CNOT2,1,0,0
WASH2P,1,0,0
LERFS,1,0,0
DZANK1,1,0,0
PBK,1,0,0
RFPL1,1,0,0
PRB1,1,0,0
LOC440570,1,0,0
UVSSA;NKX1-1,1,0,0
CCN4,1,0,0
TPSD1,1,0,0
SLC36A2,1,0,0
KIF19,1,0,0
OR4X2,1,0,0
FOXD4L5,1,1,0
CYP2D7,1,0,0
ZNF141,1,1,0
PARP2,1,0,1
KRTAP13-2,1,0,0
MIR1-1HG-AS1,1,1,0
RABGAP1,1,0,0
TBC1D3P5,1,0,0
FAM157A;FAM157B,1,0,0
GOSR1,1,0,0
BDP1,1,0,0
CD177,1,0,0
PIGW,1,0,0
MIR4283-1;ZNF479,1,0,0
NONE;LOC107985911,1,0,0
HNF1A,1,0,0
LOC102723360;LOC102724219;LOC102724843;LOC102724951;LOC389831,1,0,0
CEACAM21,1,0,1
TIMMDC1,1,0,0
ADAMTS12,1,1,0
FGL1,1,0,0
GNRH2,1,0,0
KRTAP4-8;KRTAP4-8,1,0,0
DNM1P46,1,0,0
PTPRH,1,0,0
GDPD4,1,0,1
KNG1,1,0,0
LOC100134368,1,0,0
LINC01262,1,0,0
DNAJA4,1,0,0
PHACTR4,1,0,0
LOC440570;MIR3675,1,0,1
PDE6B,1,1,0
SLC35F2,1,0,0
OR8G1,1,0,1
TRIM64B,1,0,0
ZACN,1,0,1
CBWD3,1,0,1
OR52A1,1,0,0
TAAR9,1,0,0
IDO2,1,0,0
LOC102723769;RNVU1-1,1,0,0
PTCRA,1,0,1
PLD1,1,0,0
RAB6A,1,0,0
ACSM1,1,0,1
PKD1L3,1,0,0
NEB,1,0,1
DCUN1D1,1,0,0
FXYD4,1,0,1
NBPF10,1,0,1
GBA3,1,0,0
LOC440434,1,0,0
GRIA1,1,0,0
ATG101,1,0,0
LOC105379477,1,0,0
SLC35G6,1,0,0
CCBE1;PMAIP1,1,0,0
PIGQ,1,0,0
NAE1,1,0,0
DDIT4L,1,0,0
FAM90A1,1,0,0
FAM86B1,1,0,0
WDR63,1,0,0
CDRT15P1,1,0,0
MBD4,1,0,0
DHDH,1,0,0
MUC5B,1,0,0
NBPF8,1,0,0
MIR3927;PALM2-AKAP2,1,0,0
WDSUB1,1,0,0
HLA-DRB1;HLA-DRB1,1,0,1
CCDC83,1,0,0
SPATA8,1,0,0
CNTNAP3,1,0,0
PRAMEF4,1,0,0
PRKDC,1,0,0
PCDHGA10,1,0,0
POTEM,1,0,0
RSPO1,1,0,0
LOC102724488;SYT15,1,0,0
ANAPC1,1,0,0
LOC100233156,1,0,0
CFAP74,1,0,0
ASCC1,1,0,0
NIPBL,1,0,0
ANKRD16,1,0,0
MFF,1,0,0
CHCHD10,0,1,0
MICA;MICA,0,1,0
OR5K3,0,1,0
SIRPB1,0,1,0
PTPRVP,0,1,0
PYGL,0,1,0
RIPOR2,0,1,0
PEBP4,0,1,0
LILRB3,0,1,0
VOPP1,0,1,0
HLA-DPB1,0,1,0
TBC1D3P2,0,1,0
LINC00029;LINC01749,0,1,0
NRG4,0,1,0
NOP16;NOP16,0,1,0
FES,0,1,0
EFCAB13,0,1,0
EFCAB8,0,1,0
SEC63,0,1,0
AGAP12P,0,1,0
NPSR1,0,1,0
TPTE,0,1,0
HLA-DRA,0,1,0
LGR6,0,1,0
SNHG17,0,1,0
ADGRE1;ADGRE1,0,1,1
RPL18,0,1,0
TPT1,0,1,0
SLC22A10,0,1,0
MUC16,0,1,0
AGXT2,0,1,0
GCNT7,0,1,0
MS4A7,0,1,0
DDX60L,0,1,0
C12orf60,0,1,0
DIDO1,0,1,0
MOB3C,0,1,0
CARD14,0,1,0
HLA-DQB1,0,1,0
FRG2B,0,1,0
VMO1,0,1,0
OR11H1;CCT8L2,0,1,0
ZNF890P,0,1,0
GALK2,0,1,0
PER3;PER3,0,1,0
CELP,0,1,0
UPP1,0,1,0
DPP7,0,1,1
FRG1DP;FRG1EP;LOC283788,0,1,0
AGL,0,1,0
MEIS3P1,0,1,0
COLQ,0,1,0
BIRC7,0,1,0
TSPAN10,0,1,0
ACSL6,0,1,0
DPY19L2;RXYLT1,0,1,0
CLIP3,0,1,0
TMEM216;TMEM216,0,1,0
GAPVD1,0,1,0
ZFYVE19,0,1,0
LOC728613,0,1,0
ZNF578,0,1,0
IPO4,0,1,0
MROH5,0,1,0
LTN1,0,1,0
SRPK1,0,1,0
CHRFAM7A,0,1,0
LOC102724562,0,1,0
SIRPA,0,1,0
DNM1P41,0,1,0
ADAM3A,0,1,0
CLDN5,0,1,0
VAT1,0,1,0
POLR2J3,0,1,0
SMPD4,0,1,0
TBC1D31,0,1,0
CD24,0,1,0
TMEM254-AS1,0,1,0
TBP,0,1,0
ZNF480,0,1,0
GXYLT1,0,1,0
LINC00471,0,1,0
OR1S1,0,1,1
RELCH,0,1,0
HPR,0,1,0
SPPL2B,0,1,0
PSMA4,0,1,0
TMEM107,0,1,0
NANS,0,1,0
CRYBG2,0,1,0
GYPB,0,1,0
GBP3,0,1,0
MYH14,0,1,0
VPS13B,0,1,0
APOBR,0,1,1
OR5AC2,0,1,0
ATXN2L,0,1,0
CNN2,0,1,0
OR5K4,0,1,0
TMEM25,0,1,0
CENPN,0,1,0
BRD7,0,1,0
TMPRSS4,0,1,0
ADAM6;LINC00226,0,1,0
VWA3B,0,1,0
ITGB1BP1,0,1,0
MYH7,0,1,0
RBMX,0,1,0
ARMS2,0,1,0
PRKAR1A,0,1,0
IL12RB1,0,1,0
SKA3,0,1,0
MUC17,0,1,0
GNA11,0,1,0
HTR3D;HTR3D,0,1,0
CYLC2,0,1,0
SPATA3,0,1,0
BMP4,0,1,0
SLC6A8,0,1,0
OR4P4,0,1,0
TRDN,0,1,0
FRG1BP;FRG1DP,0,1,0
UBTFL1,0,1,0
TAF1B,0,1,0
TUBBP5,0,1,0
URAHP,0,1,0
NFKB1,0,1,0
AXDND1,0,1,0
CRACR2B,0,1,0
SERTAD4;HHAT,0,1,0
ADAM11,0,1,0
ARMCX2,0,1,0
DNAJC4;NUDT22,0,1,0
MYO15B,0,1,0
PCDHGA8,0,1,0
GEN1,0,1,0
TXNRD2,0,1,0
TMEM254,0,1,0
NCOR1,0,1,0
MT1G,0,1,0
NONE;GYG2P1,0,1,0
ADGRG6,0,1,0
MAPT,0,1,0
KLK3,0,1,0
HPN-AS1,0,1,0
PRKRA,0,1,0
LOC100996724,0,1,0
HLA-L,0,1,0
PLIN4,0,1,0
PMS1,0,1,0
ALDH1L1,0,1,0
DNAH14,0,1,0
LOC110091776,0,1,0
NPPA,0,1,0
MYL12B,0,1,0
H2BFM,0,1,1
FLJ25758;MBD3L2B,0,1,0
CDK5RAP2,0,1,0
UXT-AS1,0,1,1
DGLUCY;DGLUCY,0,1,0
LOC107985911;LSP1P4,0,1,0
PRSS3,0,1,0
GAB4,0,1,0
IDUA,0,1,0
MS4A12,0,1,1
HTR3E,0,1,0
MST1P2,0,1,0
GK5,0,1,0
ANKRD20A9P,0,1,0
LOC653653,0,1,0
AKR1E2,0,1,0
GPRIN1,0,1,0
TMEM8A,0,1,0
ZNF3,0,1,0
RP1L1,0,1,0
CHMP4B;RALY-AS1,0,1,0
PCMTD1,0,1,0
MIR4539;FAM30A,0,1,0
RPL34-AS1,0,1,0
MDP1;NEDD8-MDP1,0,1,0
KIR2DS4,0,1,0
HGC6.3,0,1,0
CLECL1,0,1,0
FOLH1B,0,1,0
PRICKLE1,0,1,0
WHAMMP2,0,1,0
ANTXRLP1,0,1,0
KIAA1841,0,1,0
OR52N1,0,1,0
SAMD11,0,1,0
AREL1,0,1,0
TYW1B,0,1,0
C9orf147,0,1,0
NOTCH2,0,1,0
LPO,0,1,0
TIGD6,0,1,0
RHPN2,0,1,0
CLDN14,0,1,0
ERI1,0,1,0
LOC390705;LOC105369266,0,1,1
GPRC5C,0,1,1
TK2,0,1,0
ZSCAN12P1,0,1,0
XRCC4,0,1,0
LINC00421;TPTE2,0,1,0
GJB4,0,1,0
RNASE9,0,1,0
GBGT1,0,1,0
KHDC1,0,1,0
FAM83H,0,1,1
LAIR1,0,1,0
AQP7,0,1,0
MROH2B,0,1,0
TBC1D27P,0,1,0
CIDEA,0,1,0
MOSMO,0,1,0
CHEK2P2;HERC2P3,0,1,0
OR7E14P,0,1,1
INPP5D,0,1,0
ZNF664,0,1,0
P2RX5,0,1,0
LARP7,0,1,0
EPDR1,0,1,1
C9orf43,0,1,0
CCDC90B,0,1,0
ZNF705E,0,1,0
CCDC198,0,1,0
RUNX2,0,1,0
TLCD3A,0,1,0
NRP2,0,1,0
ZNF474,0,1,0
CSAG1,0,1,1
NKD2,0,1,0
SMIM22,0,1,0
ZNF500,0,1,0
CST3,0,1,0
KIR2DS5;KIR2DS3;LOC102725023,0,1,1
KMT2C,0,1,0
CAMTA2,0,1,0
ARSD,0,1,0
BEGAIN,0,1,0
STXBP2,0,1,0
CHPT1,0,1,0
KRT24,0,1,1
ZNF80,0,1,0
CES5A,0,1,0
ZRANB1,0,1,0
STYXL1;STYXL1,0,1,0
FRG1,0,1,0
GRIN3B,0,1,1
ZNF527,0,1,0
FAM166B,0,1,1
CTSL,0,1,1
CDRT15,0,1,0
PHKA1,0,1,0
PRAMEF2,0,1,0
WTIP;ZNF807P,0,1,0
NLRP8,0,1,0
BLM,0,1,0
CASP9,0,1,0
HIST2H2BC,0,1,0
ZDHHC11B,0,1,0
POTEH,0,1,0
LPAL2,0,1,0
TOR1AIP1,0,1,0
ACTR3BP2,0,1,0
ETV2,0,1,0
GART,0,1,0
TMUB2,0,1,0
HLA-DRB6,0,1,0
NLRP1,0,1,0
NBPF1,0,1,0
MIR5091;LINC01182,0,1,0
PAK4,0,1,0
KRI1,0,1,0
SLC9A8,0,1,0
CCDC144NL,0,1,0
KLK5,0,1,0
TAS2R19,0,1,0
LCN10,0,1,0
POTEM;OR11H2,0,1,1
NONE;NONE,0,1,0
AKR7L,0,1,0
ATXN3,0,0,1
CCDC66,0,0,1
ZNF419,0,0,1
GRAMD1A;GRAMD1A,0,0,1
PTCHD3,0,0,1
LINC00294,0,0,1
COX10,0,0,1
MYO7B,0,0,1
OR2W3,0,0,1
NALCN,0,0,1
TMEM255B,0,0,1
PWRN1,0,0,1
FLT4,0,0,1
DNAJB2,0,0,1
POMZP3,0,0,1
OR6C74,0,0,1
ZNF492,0,0,1
ADCY10P1,0,0,1
CASP8AP2,0,0,1
BCR,0,0,1
CENPBD1P1,0,0,1
ANKRD36C,0,0,1
ZNF772,0,0,1
NBPF25P,0,0,1
IFI27;IFI27,0,0,1
TMEM63C,0,0,1
OR9K2,0,0,1
SLC5A9,0,0,1
C1orf220,0,0,1
UBE2NL,0,0,1
A2M,0,0,1
OR7E5P,0,0,1
PRDM7;FAM157B,0,0,1
CPNE1,0,0,1
DHFR,0,0,1
OR6C1,0,0,1
ZNF99,0,0,1
CTTN,0,0,1
MADD,0,0,1
MYDGF,0,0,1
LINC00922,0,0,1
SUN1,0,0,1
MS4A14,0,0,1
PAX4,0,0,1
SCRN3,0,0,1
SYCP1,0,0,1
MGC70870,0,0,1
TTC4,0,0,1
JRK,0,0,1
KLHL2,0,0,1
PCGF2,0,0,1
PITRM1,0,0,1
RMDN2-AS1,0,0,1
NBPF10;NBPF19,0,0,1
TUSC7,0,0,1
MYO19,0,0,1
ARHGEF5,0,0,1
MUC4,0,0,1
PPFIA3,0,0,1
FTSJ3,0,0,1
SFTPA2,0,0,1
ALPK1,0,0,1
MTCH2,0,0,1
STX18,0,0,1
OR4C11,0,0,1
SULT1C3,0,0,1
SDHAP2,0,0,1
LPL,0,0,1
OR2T35,0,0,1
H6PD,0,0,1
OAS2,0,0,1
SLC7A13,0,0,1
OR2T12,0,0,1
KRT18,0,0,1
SLC25A48-AS1,0,0,1
FCGR2A,0,0,1
LOC401357,0,0,1
ADCK5,0,0,1
PPP1R16A,0,0,1
CARD8,0,0,1
YBEY,0,0,1
PKD1L3;PKD1L3,0,0,1
GPR107,0,0,1
OR5M1,0,0,1
MACF1,0,0,1
RETNLB,0,0,1
CDH23,0,0,1
RBMXL1,0,0,1
INTS4P1,0,0,1
SUMO1,0,0,1
OBSCN,0,0,1
FIS1,0,0,1
ZNF443,0,0,1
OR4A47;TRIM49B,0,0,1
GABRR1,0,0,1
OR7G3,0,0,1
PCDHA10,0,0,1
HMGXB4,0,0,1
ACOT4,0,0,1
OR4C45,0,0,1
FCGR2C,0,0,1
SDF4,0,0,1
FOXD4L3,0,0,1
CES1,0,0,1
OR52M1;OR52I2,0,0,1
PRSS12;CEP170P1,0,0,1
NLN,0,0,1
DNAJC28,0,0,1
SHANK3,0,0,1
CPA1,0,0,1
MADCAM1,0,0,1
ZNF595;ZNF718,0,0,1
HLA-DRB5,0,0,1
SYNE2,0,0,1
CCDC69,0,0,1
GGT3P,0,0,1
KCTD20,0,0,1
LINC00226,0,0,1
DLGAP1-AS1,0,0,1
POMT1,0,0,1
FAM86B2,0,0,1
CLDN16,0,0,1
PXDNL,0,0,1
SLC6A18,0,0,1
LTBP4,0,0,1
PDXDC2P-NPIPB14P,0,0,1
SPAG11A,0,0,1
RASA4B,0,0,1
FBXL21P,0,0,1
GGA3,0,0,1
NUDT11,0,0,1
CCDC103,0,0,1
DMPK,0,0,1
LOC286359,0,0,1
ZNF880,0,0,1
NEBL,0,0,1
LINC00226;LINC00221,0,0,1
ZNF586;ZNF552,0,0,1
EPS8L2,0,0,1
SEZ6,0,0,1
CAPN11,0,0,1
BICRA,0,0,1
NDUFAF6,0,0,1
ATG2B,0,0,1
LAPTM4B,0,0,1
WDR90,0,0,1
FAM205C,0,0,1
KAT14,0,0,1
PRB4,0,0,1
METTL2B;LINC01000,0,0,1
LINC00473,0,0,1
PHLDA1,0,0,1
SLC41A3,0,0,1
ANKRD36,0,0,1
CCHCR1,0,0,1
KRTAP19-6;KRTAP19-6,0,0,1
DPP4,0,0,1
FKBP1B,0,0,1
HERC4,0,0,1
SRRM2,0,0,1
ITIH1,0,0,1
RBM39,0,0,1
CCR5,0,0,1
TMEM175;TMEM175,0,0,1
OR2T2,0,0,1
HLA-H,0,0,1
AIFM1,0,0,1
LINC00937,0,0,1
IL33,0,0,1
NUDT17,0,0,1
IFNK,0,0,1
LOC112267871;LOC440570,0,0,1
IFNA10,0,0,1
NPHP3-AS1,0,0,1
IST1,0,0,1
CCDC7,0,0,1
TBX2,0,0,1
OR2J1,0,0,1
RNF32,0,0,1
DHX37,0,0,1
OARD1,0,0,1
YWHAE,0,0,1
OAS1,0,0,1
FAM90A2P,0,0,1
OR1B1,0,0,1
MGC15885,0,0,1
MED15,0,0,1
ILVBL,0,0,1
CEP89,0,0,1
AUP1,0,0,1
EIF3G,0,0,1
DCAF15,0,0,1
SART3,0,0,1
OVCH2,0,0,1
TMX3,0,0,1
SNRNP40,0,0,1
TNFRSF12A,0,0,1
FOXL2NB,0,0,1
LOC729218,0,0,1
ACSM4,0,0,1
UGT2A1,0,0,1
NLRP11;NLRP4,0,0,1
MIR662;RPUSD1,0,0,1
NDUFV3,0,0,1
NFKBIZ,0,0,1
C17orf107,0,0,1
AK9,0,0,1
TCF7,0,0,1
FAM86FP,0,0,1
ABCA4,0,0,1
EPB41L4A,0,0,1
LOC101928697;ANKRD26P3,0,0,1
RBM26,0,0,1
COG5,0,0,1
BCKDHA,0,0,1
METTL17,0,0,1
KIAA0040,0,0,1
DNAH7,0,0,1
DPY19L2P1,0,0,1
SPATA22,0,0,1
IL34,0,0,1
HERC2,0,0,1
SIGLEC12,0,0,1
FOXO3,0,0,1
WASH3P,0,0,1
SLFN13,0,0,1
PTPRQ,0,0,1
CYP4B1,0,0,1
C2CD3;PPME1,0,0,1
NOTCH2NLB;NOTCH2NLC,0,0,1
PCED1A,0,0,1
GTF2H2B;GUSBP3,0,0,1
DOCK9,0,0,1
SSTR1,0,0,1
CTBP2,0,0,1
ZFP64,0,0,1
WNK1,0,0,1
PNPLA7,0,0,1
OR52D1,0,0,1
NUSAP1,0,0,1
PSORS1C1,0,0,1
FAM201A,0,0,1
LINC01783;LOC440570,0,0,1
MPRIP,0,0,1
BIRC5,0,0,1
LINC00032,0,0,1
OR13C2,0,0,1
FAM86HP,0,0,1
LOC101928847,0,0,1
BTN3A2,0,0,1
